id,badgegeber_id,status,name,deklarierte_funktion,geschlecht,infocube_id_person,kategorie,infocube_id,person.city,person.kanton,bemerkungen
243,243,,Petrusic Ivica,Dachverband der offenen Jugendarbeit Schweiz DOJ,m,6595626,Q,6595626,Aarau,AG,
211,211,,Mohn Sabrina,CVP Baselland,w,6595930,2,6595930,Allschwil,BL,
28,28,,Urs Martin,Privatklinken Schweiz,m,6595970,S,6595970,Romanshorn,TG,
109,109,,Raphaël Ciocchi,Persönlicher Mitarbeiter,m,6607224,1,6607224,Vicques,JU,
397,151,,Mohamed Hamdaoui,Syndicom,m,6657780,S,6657780,Biel/Bienne,BE,
46,46,,Bettina Mutter,Dynamics Group,w,6701264,M,6701264,Zürich,ZH,cf. Franz Egle / Dynamics Group AG
477,231,,Michaud Gigon Sophie,Pro Natura,w,6702969,S,6702969,Lausanne,VD,
235,235,,Stückelberger Ueli,Verband öffentlicher Verkehr VöV,m,6719597,S,6719597,Bern,BE,
313,67,,Michèle Graber,Persönliche Mitarbeiterin,w,6749204,1,6749204,Udligenswil,LU,
98,98,,Klaus Künzli,Gastrosuisse,m,6804000,S,6804000,Ittigen,BE,
108,108,,Martin Pidoux,Schweizerischer Bauernverband,m,6815095,S,6815095,Fribourg,FR,
221,221,,Merkli Christoph,Pro Velo Schweiz,m,6879792,S,6879792,Zollikofen,BE,"Geschäftsführer Pro Velo Schweiz, http://www.pro-velo.ch/pro-velo/geschaeftsstelle/team/
Verein Velojournal"
25,25,,Blocher Silvia,Gast,w,6895995,0,6895995,Herrliberg,ZH,Ehefrau
219,219,,Miescher Alex,SPORT/SFV,m,6897508,R,6897508,Biberist,SO,"Schweizerischer Fussballverband (Generalsekretär), Kampfpilot, FDP-Politiker in Solothurn, www.alxmiescher.ch"
132,132,,Kalim Ghulam,Powercondens,m,6942944,G,6942944,Chur,GR,
200,200,,Lauber Tamara,Persönliche Mitarbeiterin,w,6951145,1,6951145,Zürich,ZH,
189,189,,Reimann Hans Peter,Gast,m,6970879,0,6970879,Wallbach,AG,
47,47,,Sarkis Shahinian,Parlamentarische Gruppe Schweiz-Armenien,m,7038795,2,7038795,Schmitten FR,FR,
295,49,,Arnaud Schaller,Alliance des Assureurs Maladie Suisses AAMS,m,7092939,S,7092939,Bern,BE,
3,3,,Etienne Bütikofer,Berufsverband Bildung,m,p20003213451,S,p20003213451,,,"Kursleiter, Bildungs-Berater, Bildungs-Lobbyist"
215,215,,Ulber Marcus,Pro Natura,m,p21001303348,S,p21001303348,,,
5,5,,Alex Fischer,WWF Schweiz,m,p21005293744,S,p21005293744,,,"Dozent an der Central European University, Budapest"
188,188,,Simonet Denis,Piratenpartei,m,p21008036913,2,p21008036913,,,
17,17,,Natacha Berberat,Gast,w,p22005158400,0,p22005158400,,,Ehefrau
126,126,,Aliki Panayides,Persönliche Mitarbeiterin,w,p22005361383,1,p22005361383,,,
489,243,,Sariaslan Emine,Forum für die Integration der Migrantinnen und Migranten Fimm,w,p22009442056,S,p22009442056,,,
191,191,alt,Suter Bertil,Gast,m,p22010017274,0,p22010017274,,,
239,239,,Walter Madeleine,Gast,w,p22011150457,0,p22011150457,,,
488,242,,Kunz Stefan,Aqua Viva-Rheinaubund,m,p24006194100,S,p24006194100,,,
160,160,,Helene Müller-Bühler,Gast,w,p25000897613,0,p25000897613,,,
181,181,,Björk Michaela,Persönliche Mitarbeiterin,w,p25004801411,1,p25004801411,,,
241,241,,Wasserfallen Margret,Gast,w,p25005302916,0,p25005302916,,,
142,142,,Luca Cirigliano,Schweizerischer Gewerkschaftsverbund,m,p25015040091,S,p25015040091,,,
173,173,,Tettamanti Elvio,Gast,m,p26001067974,0,p26001067974,,,Familienmitglied
240,240,,Peyer Hans,Allianz der Wirtschaft für eine massvolle Präventionspolitik AWMP,m,p26001815016,S,p26001815016,,,
119,119,,Cornelia Stamm Hurter,Gast,w,p26002615664,0,p26002615664,,,
318,72,,Xavier Bertelletto,Kanton Wallis,m,p27003254264,2,p27003254264,,,
199,199,,Paltenghi Luca,Persönlicher Mitarbeiter,m,p27007321472,1,p27007321472,,,
178,178,,Mühlethaler Jan,Schweizer Aussenwirtschaftsförderung Osec,m,p28002992189,S,p28002992189,,,
487,241,,Thalhammer Alexandra,Gast,w,p28007352913,0,p28007352913,,,
154,154,,Babette Sigg Frank,CVP Frauen Schweiz,w,p29001217247,2,p29001217247,,,
412,166,,Marc Herkenrath,Alliance Sud,m,p29002609056,S,p29002609056,,,
257,11,alt,Susanne Blank,Travailsuisse,w,,S,,,,"Cheredaktorin ""Die Volkswirtschaft"", Staatssekretariat für Wirtschaft Seco"
,57,alt,Werni Birrer,Gast,m,,0,,,,
61,61,alt,Peter Graf,Persönlicher Mitarbeiter,m,,1,,,,
436,190,alt,Grob Annina,Union des Etudiants de Suisse,w,,S,,,,
437,191,alt,Cornu Pierre,Persönlicher Mitarbeiter,m,,1,,,,
482,236,alt,Fust Michael,Neue Europäische Bewegung Schweiz,m,,S,,,,
,5,neu,Gebhard Marc,Gast,m,,,,,,
,11,neu,Fischer Gabriel,Travailsuisse,m,,,,,,
,21,neu,Brunner Markus,Waldwirtschaft Schweiz,m,,,,,,
,30,neu,Egger Beda,Persönlicher Mitarbeiter,m,,1,,,,
,47,neu,Gisi Barbara,Schweizer Tourismus-Verband STV,w,,S,,,,
,57,neu,With Peter,Gast,m,,0,,,,
,66,neu,Seiler Daniel,Aids-Hilfe Schweiz,m,,,,,,
,249,neu,Zijdenbos Theo,Vereinigung Schweizerischer Privatbanquiers,m,,,,,,
,181,neu,Schweri Kim Lara,Réseau OSEO / Netzwerk SAH,w,,S,,,,
,190,neu,Hugentobler Manuela Annette,Union des Etudiants de Suisse UNES,w,,S,,,,
,236,neu,Barioni Séverine,Neue Europäische Bewegung Schweiz,w,,,,,,
88,88,neue Funktionsbezeichnung,Jonas Glanzmann,Persönlicher Mitarbeiter ,m,,1,,,,
102,102,neue Funktionsbezeichnung,Stefan Jakob,Ecopolitics,m,,S,,,,
402,156,neue Funktionsbezeichnung,Johan Rochel,Persönlicher Mitarbeiter / Représentant de foraus,m,,1,,,,
249,3,,Markus Meyer,Präsident Schweizerisches Kompetenzzentrum Fischerei SKF,m,,S,,,,"Präsident Bernisch Kantonaler Fischerei-Verband, Rechtsanwalt bei Bracher & Partner, Spezialist für Wirtschafts-, Verwaltungs- und Baurecht, über öffentliche Suchmaske zu wenig eindeutig. Privatadresse: Eisenbahnstrasse 11, 4901 Langenthal"
6,6,,Kind Andrea,Gast,w,,0,,,,"Musikerin (Konzerthackbrett),
Klangschalen-Masseurin und -therapeutin"
253,7,,Dore Heim,Schweizerischer Gewerkschaftsbund,w,,S,,,,Geschftäftsführende Sekretärin des Schweizerischen Gewerkschaftsbundes (SGB)
7,7,,Simon Affolter,Etat de Vaud,m,,2,,,,Delegierter des Kantons Waadt für interkantonale und europäische Angelegenheiten
263,17,,Florence Meyer,Ville de La Chaux-de-Fonds,w,,2,,,,Verantwortliche für Aussenangelegenheiten bei der Stadt La Chaux-de-Fonds
18,18,,Alain Bovard,"Amnesty International, Section Suisse",m,,S,,,,
264,18,,Daniel Roth,Gast,m,,0,,,,Ehemann
266,20,,Aeppli Alfred,Gast,m,,0,,,,"Der ""Bundeshaus-Seelsorger""; arbeitet bei den Besinnungen im Bundeshaus mit. Präsident des Landeskirchen-Forums."
20,20,,Matthias Dietrich,Informationsdienst für den öffentlichen Verkehr Litra,m,,S,,,,Geschäftsführer. War früher in der PR-Abteilung der SBB.
21,21,,Hans Koller,Strasseschweiz,m,,S,,,,
23,23,,Marco Taddei,Schweizerischer Verband freier Berufe,m,,S,,,,Generalsekretär
271,25,,von Rohr Chris,Gast,m,,0,,,,
272,26,,Gaston Wolf,Konferenz Hochschuldozierende Schweiz,m,,S,,,,
273,27,,Hüssy Hans-Rudolf,Persönlicher Mitarbeiter,m,,1,,,,Ex-Präsident der Offiziere der Luftwaffe (Avia)
274,28,,Roswitha Brunner,Aktion Medienfreiheit,w,,S,,,,
31,31,,Rohner Petra,Persönliche Mitarbeiterin,w,,1,,,,
278,32,,Thomas Bähler,"Verband Stahl-, Metall- und Papier-Recycling Schweiz VSMR",m,,S,,,,"Geschäftsführer von Wirtschaftsverbänden im Mandatsverhältnis (Stahl-, Metall und Papier-Recycling; Entsorgung von elektronischen und elektrischen Altgeräten; Blumenimport und -grosshandel, Tabakwarenhandel, Kartenverlage)"
32,32,,Uebersax Judith,SVP Frauen Schweiz,w,,2,,,,
34,34,,Beat Christen,Persönlicher Mitarbeiter,m,,1,,,,"http://newsnetz-blog.ch/hugostamm/blog/2012/05/03/stosstrupp-gottes-in-den-wandelhallen/comment-page-4/#comments 

http://www.vbg.net/die-vbg/wer-wir-sind/mitarbeitende.html"
280,34,,Thomas Ruckstuhl,Persönlicher Mitarbeiter,m,,1,,,,
281,35,,Jean-Claude Chabloz,Gast,m,,0,,,,
282,36,,Xavier Pilloud,Persönlicher Mitarbeiter,m,,1,,,,
37,37,,Brigitte Pitteloud,Etat du Valais,w,,2,,,,
38,38,,Martin Fröhlich,Persönlicher Mitarbeiter,m,,1,,,,
285,39,,Jean-Félix Savary,Groupement Romand d'Etudes des Addictions Grea,m,,S,,,,
39,39,,Töngi Michael,Schweizerische Mieterinnen- und Mieterverband,m,,S,,,,
41,41,,Sara Guerra,"Stagiaire, Kanton Tessin",w,,2,,,,
43,43,,Sandra-Anna Göbelbecker,Persönliche Mitarbeiterin,w,,1,,,,
291,45,,Buschbeck Mathias,Persönlicher Mitarbeiter,m,,1,,,,
292,46,,Timotheos Frey,Burson-Marsteller,m,,M,,,,
49,49,,Christina Gaggini,Economiesuisse,w,,S,,,,
298,52,,Jürg Schlup,Verbindung der Schweizer Ärztinnen und Ärzte FMH,m,,S,,,,
52,52,,Rita Eder-Bachmann,Gast,w,,0,,,,
299,53,,Konrad Hanspeter,Schweizerischer Pensionskassenverband Asip,m,,K,,,,
302,56,,Thomas Egger,Schweizerische Arbeitsgemeinschaft für das Berggebiet Sab,m,,S,,,,
59,59,,Chantal Aeby Pürro,Fédération suisse des vignerons FSV,w,,S,,,,
306,60,,Bruno Stegmann,Gast,m,,0,,,,
60,60,,Hans Kuno Schweiger,Gast,m,,0,,,,
308,62,,Andrea Arezina,Persönliche Mitarbeiterin,w,,1,,,,
62,62,,Miriam Wetter,Persönliche Mitarbeiterin,w,,1,,,,
310,64,,Conradin Nils Münger,Verein Kinderlobby,m,,S,,,,
64,64,,Roland Seiler,Schweizerischer Fischerei-Verband SFV,m,,S,,,,
65,65,,Sybille Oetliker,Schweizerischer Städteverband SSV,w,,S,,,,Wissenschaftliche Mitarbeiterin Schweizerischer Städteverband (http://staedteverband.ch/de/Info/Stadteverband/Geschaftsstelle)
67,67,,Ingrid Hess,Umweltallianz,w,,S,,,,
68,68,,Hans-Georg Bächtold,Schweizerischer Ingenieur- und Architekten-Verein,m,,S,,,,
70,70,,Cahannes Dagobert,Kanton Solothurn,m,,2,,,,
316,70,,Michael Schmid,Verband der Schweizerischen Gasindustrie VSG,m,,S,,,,
319,73,,Kristensen Philip Holmgaard,Centre Patronal (Mandat Aerosuisse und Parl. Gruppe Luft- und Raumfahrt),m,,S,,,,
73,73,,Paul-André Simon,Persönlicher Mitarbeiter,m,,1,,,,
320,74,,Jean-Christophe Britt,"Public Affairs, Novartis International",m,,M,,,,Mediensprecher Novartis International AG
76,76,,Antoine Carraux,Union Démocratique du Centre du Valais romand,m,,2,,,,
322,76,,Jérome Desmeules,Union Démocratique du Centre du Valais romand,m,,2,,,,
78,78,,Jürg Wittwer,Hausverein Schweiz,m,,S,,,,
81,81,,Christoph Dietler,Pluswert,m,,M,,,,
328,82,,Beat Spahni,Thinkart Consulting,m,,M,,,,
85,85,,Hans-Ulrich Hunziker,Swiss Association Value Added Services Savass,m,,S,,,,
86,86,,Barbara Küttel,Kleinbauern-Vereinigung VKMB,w,,S,,,,
333,87,,Barmettler Franziska,Swisscleantech,w,,M,,,,
334,88,,Guido Graf,Kanton Luzern,m,,2,,,,http://www.lu.ch/gesundheit_soziales = http://infocube.ch/de/p/198658/graf-guido ???
335,89,,Moreno Casasola,Solidarité sans frontières,m,,S,,,,
89,89,,Nicole Werner,Alliance Sud,w,,S,,,,
336,90,,Hannes Jaisli,Gastrosuisse,m,,S,,,,
339,93,,Christina Goethe,Swissaid,w,,Q,,,,
93,93,,Markus Allemann,Greenpeace Schweiz,m,,S,,,,
340,94,,Harry Graf,Gast,m,,0,,,,
95,95,,Kurt Howald,Gast,m,,0,,,,
342,96,,Adrian Schmid,Schweizerischer Heimatschutz,m,,S,,,,
96,96,,Jürgen Schulz,Persönlicher Mitarbeiter,m,,1,,,,
99,99,,Marie-Jo Girardin,Persönliche Mitarbeiterin,w,,1,,,,
345,99,,Michel Darbellay,Chambre jurassienne d'agriculture,m,,S,,,,
346,100,,Thomas Zwald,Verband Schweizer Elektrizitätsunternehmen VSE,m,,S,,,,
348,102,,Yvonne Ribi,Schweizerischer Berufsverband der Pflegefachfrauen und Pflegefachmänner SBK-ASI,w,,S,,,,
103,103,,Dieter Meile,Persönlicher Mitarbeiter,m,,1,,,,
350,104,,Annette Walder,Gast,w,,0,,,,
104,104,,Daniela Lehmann,Gewerkschaft des Verkehrspersonals Sev,w,,S,,,,
351,105,,Peter Stähli,Kleine und mittlere Unternehmen (KMU),m,,S,,,,
352,106,,Peter Schmid,Wohnbaugenossenschaft Schweiz,m,,S,,,,
354,108,,Liliane Brunisholz,Union suisse des paysans,w,,S,,,,
355,109,,Jean-Claude Hennet,Conférence des directeurs des transports de suisse occidentale CTSO,m,,S,,,,
110,110,,Alexander Segert,Gast,m,,0,,,,
356,110,,Ernst Stocker,Gast,m,,0,,,,
357,111,,Elsbeth Wandeler,Persönliche Mitarbeiterin,w,,1,,,,
358,112,,Mike Bacher,Persönlicher Mitarbeiter,m,,1,,,,
113,113,,Pascal Gentinetta,Economiesuisse,m,,S,,,,
115,115,,Florence Schurch,Chancellerie de la République et Canton de Gèneve,w,,2,,,,
121,121,,Harald Burgener,Gast,m,,0,,,,
367,121,,Oliver Schnyder,Verband Walliser Gemeinden,m,,S,,,,
368,122,,Martine Schneider,Gast,w,,0,,,,
122,122,,Werner Müller,SVS / BirdLife Schweiz,m,,S,,,,
123,123,,Dominik Bachmann,Aidshilfe Schweiz,m,,S,,,,
369,123,,Martin Dätwyler,Handelskammer beider Basel,m,,S,,,,
125,125,,Lucia Döbeli,Swiss Life,w,,K,,,,
373,127,,André Frutschi,Persönlicher Mitarbeiter,m,,1,,,,
127,127,,Annina Schneider,Alliance Sud,w,,S,,,,
375,129,,Beat Zbinden,Persönlicher Mitarbeiter,m,,1,,,,
131,131,,Morten Keller,Gast,m,,0,,,,
378,132,,Barbara Züst,Persönliche Mitarbeiterin,w,,1,,,,
133,133,,Christof Berger,Persönlicher Mitarbeiter,m,,1,,,,
379,133,,Rosmarie Glauser,Verband Schweizer Assistenz- und Oberärztinnen- und Ärzte VSAO,w,,S,,,,
134,134,,Charles Buser,Bauenschweiz,m,,S,,,,
383,137,,Urs Näf,Economiesuisse,m,,S,,,,
384,138,,Simone Fedele Wyss,Helvetia und Präsidentin Basler Ökonomen,w,,K,,,,
391,145,,Varuna Singh Auroi,Kanton Genf,w,,2,,,,
146,146,,Thomas Moser,Kanton Bern,m,,2,,,,
393,147,,Daniel Borner,Verband Schweizerischer Schreinermeister und Möbelfabrikanten VSSM,m,,S,,,,
395,149,,Ernest Geiser,Gast,m,,0,,,,
396,150,,Lukas Schürch,Neue Europäische Bewegung Schweiz Nebs,m,,S,,,,
151,151,,Andreas Tschöpe,Conseil Suisse des Activités de Jeunesse,m,,S,,,,
152,152,,Hannes Rettenmund,Persönlicher Mitarbeiter,m,,1,,,,
153,153,,Doris Güttinger,Fédération suisse des sages-femmes SHV / FSSF,w,,S,,,,
399,153,,Marie Pasquier Maridat,Persönliche Mitarbeiterin,w,,1,,,,
400,154,,François Tissot-Daguette,La Poste,m,,H,,,,
155,155,,Claudio Kuster,Persönlicher Mitarbeiter,m,,1,,,,
156,156,,Maxim Wuersch,Persönlicher Mitarbeiter,m,,1,,,,
403,157,,Patrick Kneubühl,Treuhand Suisse,m,,M,,,,
158,158,,Markus Flury,Schweizer Musikrat SMR,m,,S,,,,
405,159,,Ersin Dincer,Kinderlobby,m,,S,,,,
159,159,,Martin Bosshard,Bio Suisse,m,,S,,,,
163,163,,Ottilia Müller,Persönliche Mitarbeiterin,w,,1,,,,
409,163,,Reinhard Frei,Persönlicher Mitarbeiter,m,,1,,,,
164,164,,Jürg Maurer,Migros-Genossenschaft-Bund,m,,G,,,,
165,165,,Franz Grüter,Gast,m,,0,,,,
167,167,,Egger Michel,Alliance Sud,m,,S,,,,
,167,,Neirynck Julien,Gast,m,,,,,,
415,169,,Fredy Müller,Mueller Consulting und Partner,m,,M,,,,
169,169,,Roger Hedi,Sport-Toto-Gesellschaft,m,,R,,,,
170,170,,Cherix François,Gast,m,,0,,,,
416,170,,Leumann Luc,Verkehrsclub der Schweiz VCS,m,,S,,,,
174,174,,Wartenweiler Johannes,Persönlicher Mitarbeiter,m,,1,,,,http://www.sp-bern-nord.ch/aktuell/abstimmungen-wahlen/32-wahlen-2012/133-johannes-wartenweiler
420,174,,Wyss Manuel,Unia,m,,S,,,,
422,176,,Rohr Daniel C.,Rohr Communications,m,,M,,,,
425,179,,Derrer-Balladore Ruth,Schweizerischer Arbeitgeberverband,w,,S,,,,
180,180,,Sutter Sigrid,Swiss Label,w,,S,,,,
428,182,,Stauffer Eric,Mouvement Citoyens Romand - Mouvement Citoyens Geenvois MCR-MCG,m,,2,,,,
430,184,,Burkhardt Michael,Sunrise,m,,J,,,,
432,186,,Comina Claude,Gast,m,,0,,,,
187,187,,Geninazzi Angelo,Economiesuisse Svizzera italiana,m,,S,,,,
433,187,,Trisconi Michela,Persönliche Mitarbeiterin,w,,1,,,,
434,188,,Horisberger Marc,"Verband der Poker-, Geschicklichkeits- und Unterhaltungsspiele-Anbieter VPUG",m,,S,,,,
435,189,,Hürzeler Urs,Persönlicher Mitarbeiter,m,,1,,,,
190,190,,Strozzi Elena Antonella,Initiative des Alpes,w,,S,,,,
192,192,,Bachmann Jürg,Verband Schweizer Privatradios VSP,m,,S,,,,
439,193,,Christoph Kull,Beratendes Organ für Fragen der Klimaänderung des Bundes OcCC,m,,2,,,,
194,194,,Salzmann Bernard,Usam,m,,S,,,,
197,197,,Zimmermann Thomas,Schweizerischer Gewerkschaftsbund,m,,S,,,,
447,201,,Bianchi Doris,Schweizerischer Gewerkschaftsbund,w,,S,,,,
448,202,,Fleury Mathieu,Fédération romande des consommateurs FRC,m,,S,,,,
202,202,,Ruiz Rebecca,Gast,w,,0,,,,
203,203,,Ulrico Kessler,Pro Natura,m,,S,,,,
205,205,,Kaufmann Hans-Peter,Suissetec,m,,S,,,,
451,205,,Müller Roland A.,Schweizerischer Arbeitgeberverband,m,,S,,,,
452,206,,Imbach Konrad,Verband Hafner- und Plattengeschäfte,m,,S,,,,
206,206,,Weissen Roman,KM Konsulta,m,,M,,,,
210,210,,Nadler Anna-Lena,Jugendsession,w,,2,,,,
458,212,,Corpataux José,Schweizerischer Gewerkschaftsbund,m,,S,,,,
459,213,,Castella Christian,Fédération des Entreprises Romandes,m,,S,,,,
461,215,,Liner Marcel,Pro Natura,m,,S,,,,
217,217,,Sauvain Mélanie,Entraide Suisse Handicap Agile,w,,S,,,,Sekretärin AGILE seit 2009: http://www.agile.ch/news-fr&getDoc=580
222,222,,Perron Louis,Perron Campaigns,m,,M,,,,www.perroncampaigns.ch/
224,224,,Schwarz Johannes,Persönlicher Mitarbeiter,m,,1,,,,
226,226,,Graf Manuel,WWF Schweiz,m,,S,,,,
472,226,,Koch Anne,Greenpeace,w,,S,,,,
473,227,,Byland Karin,Persönliche Mitarbeiterin,w,,1,,,,
227,227,,Chiavaroli Danielle,Persönliche Mitarbeiterin,w,,1,,,,
228,228,,Lampart Daniel,"Sekretariatsleiter und Chefökonom, SGB",m,,S,,,,
475,229,,Langenegger Walter,Stadtverwaltung Bern,m,,2,,,,
476,230,,Durrer Urs,Amt für Wirtschaft des Kantons Schwyz,m,,2,,,,
230,230,,Henseler Pfyl Nathalie,Büro für Sprache und Politik,w,,M,,,,
231,231,,Frund Vinciane,Médecins de famille Suisse,w,,S,,,,
232,232,,Eperon Patrick,Centre Patronal,m,,S,,,,
479,233,,Schaffner Ursula,Persönliche Mitarbeiterin,w,,1,,,,
233,233,,Weber Busch Catherine,Schweizerischer Verband des Personals öffentlicher Dienste VPOD,w,,S,,,,
480,234,,Jurendic Marinko,Gast,m,,0,,,,
236,236,,Badertscher Christine,Persönliche Mitarbeiterin,w,,1,,,,
483,237,,Flückiger Stefan,Berner Waldbesitzer BWB,m,,S,,,,
237,237,,Minder Heinrich,Gast,m,,0,,,,
484,238,,Montangero Stephane,Fourchette verte Suisse,m,,S,,,,
238,238,,Zimmermann Michel,Persönlicher Mitarbeiter,m,,1,,,,
485,239,,Schneider Urs,Persönlicher Mitarbeiter,m,,1,,,,